time,round_date,date_time,turbidity_clearwell_ntu
02:00:00,2018-03-28,"2018-03-28 02:00:00",0.0500
05:00:00,2018-03-28,"2018-03-28 05:00:00",0.0500
07:00:00,2018-03-28,"2018-03-28 07:00:00",0.0500
10:00:00,2018-03-28,"2018-03-28 10:00:00",0.0500
13:00:00,2018-03-28,"2018-03-28 13:00:00",0.0500
15:00:00,2018-03-28,"2018-03-28 15:00:00",0.0600
19:00:00,2018-03-28,"2018-03-28 19:00:00",0.0500
23:00:00,2018-03-28,"2018-03-28 23:00:00",0.0500
02:00:00,2018-03-29,"2018-03-29 02:00:00",0.0500
05:00:00,2018-03-29,"2018-03-29 05:00:00",0.0500
08:00:00,2018-03-29,"2018-03-29 08:00:00",0.0500
11:00:00,2018-03-29,"2018-03-29 11:00:00",0.0500
14:00:00,2018-03-29,"2018-03-29 14:00:00",0.0500
17:00:00,2018-03-29,"2018-03-29 17:00:00",0.0500
19:00:00,2018-03-29,"2018-03-29 19:00:00",0.0500
21:00:00,2018-03-29,"2018-03-29 21:00:00",0.0500
23:00:00,2018-03-29,"2018-03-29 23:00:00",0.0500
02:00:00,2018-03-30,"2018-03-30 02:00:00",0.0500
05:00:00,2018-03-30,"2018-03-30 05:00:00",0.0500
08:00:00,2018-03-30,"2018-03-30 08:00:00",0.0500
11:00:00,2018-03-30,"2018-03-30 11:00:00",0.0500
14:00:00,2018-03-30,"2018-03-30 14:00:00",0.0500
16:00:00,2018-03-30,"2018-03-30 16:00:00",0.0500
19:00:00,2018-03-30,"2018-03-30 19:00:00",0.0500
21:00:00,2018-03-30,"2018-03-30 21:00:00",0.0500
23:00:00,2018-03-30,"2018-03-30 23:00:00",0.0500
02:00:00,2018-03-31,"2018-03-31 02:00:00",0.0500
05:00:00,2018-03-31,"2018-03-31 05:00:00",0.0500
08:00:00,2018-03-31,"2018-03-31 08:00:00",0.0500
11:00:00,2018-03-31,"2018-03-31 11:00:00",0.0500
14:00:00,2018-03-31,"2018-03-31 14:00:00",0.0500
17:00:00,2018-03-31,"2018-03-31 17:00:00",0.0500
20:00:00,2018-03-31,"2018-03-31 20:00:00",0.0500
23:00:00,2018-03-31,"2018-03-31 23:00:00",0.0500
02:00:00,2018-02-28,"2018-02-28 02:00:00",0.0400
05:00:00,2018-02-28,"2018-02-28 05:00:00",0.0400
07:00:00,2018-02-28,"2018-02-28 07:00:00",0.0400
10:00:00,2018-02-28,"2018-02-28 10:00:00",0.0500
13:00:00,2018-02-28,"2018-02-28 13:00:00",0.0500
17:00:00,2018-02-28,"2018-02-28 17:00:00",0.0500
20:00:00,2018-02-28,"2018-02-28 20:00:00",0.0800
23:00:00,2018-02-28,"2018-02-28 23:00:00",0.0900
02:00:00,2018-04-01,"2018-04-01 02:00:00",0.0500
05:00:00,2018-04-01,"2018-04-01 05:00:00",0.0500
08:00:00,2018-04-01,"2018-04-01 08:00:00",0.0500
11:00:00,2018-04-01,"2018-04-01 11:00:00",0.0500
14:00:00,2018-04-01,"2018-04-01 14:00:00",0.0500
17:00:00,2018-04-01,"2018-04-01 17:00:00",0.0500
20:00:00,2018-04-01,"2018-04-01 20:00:00",0.0500
23:00:00,2018-04-01,"2018-04-01 23:00:00",0.0500
02:00:00,2018-04-02,"2018-04-02 02:00:00",0.0500
05:00:00,2018-04-02,"2018-04-02 05:00:00",0.0500
08:00:00,2018-04-02,"2018-04-02 08:00:00",0.0500
11:00:00,2018-04-02,"2018-04-02 11:00:00",0.0500
14:00:00,2018-04-02,"2018-04-02 14:00:00",0.0500
16:00:00,2018-04-02,"2018-04-02 16:00:00",0.0500
18:00:00,2018-04-02,"2018-04-02 18:00:00",0.0500
21:00:00,2018-04-02,"2018-04-02 21:00:00",0.0400
23:00:00,2018-04-02,"2018-04-02 23:00:00",0.0400
02:00:00,2018-04-03,"2018-04-03 02:00:00",0.0400
05:00:00,2018-04-03,"2018-04-03 05:00:00",0.0400
08:00:00,2018-04-03,"2018-04-03 08:00:00",0.0500
11:00:00,2018-04-03,"2018-04-03 11:00:00",0.0400
14:00:00,2018-04-03,"2018-04-03 14:00:00",0.0500
17:00:00,2018-04-03,"2018-04-03 17:00:00",0.0400
19:00:00,2018-04-03,"2018-04-03 19:00:00",0.0400
23:00:00,2018-04-03,"2018-04-03 23:00:00",0.0400
02:00:00,2018-04-04,"2018-04-04 02:00:00",0.0400
05:00:00,2018-04-04,"2018-04-04 05:00:00",0.0400
08:00:00,2018-04-04,"2018-04-04 08:00:00",0.0500
12:00:00,2018-04-04,"2018-04-04 12:00:00",0.0500
14:00:00,2018-04-04,"2018-04-04 14:00:00",0.0500
16:00:00,2018-04-04,"2018-04-04 16:00:00",0.0500
19:00:00,2018-04-04,"2018-04-04 19:00:00",0.0500
23:00:00,2018-04-04,"2018-04-04 23:00:00",0.0500
02:00:00,2018-04-05,"2018-04-05 02:00:00",0.0400
05:00:00,2018-04-05,"2018-04-05 05:00:00",0.0400
07:00:00,2018-04-05,"2018-04-05 07:00:00",0.0500
10:00:00,2018-04-05,"2018-04-05 10:00:00",0.0400
13:00:00,2018-04-05,"2018-04-05 13:00:00",0.0400
15:00:00,2018-04-05,"2018-04-05 15:00:00",0.0500
18:00:00,2018-04-05,"2018-04-05 18:00:00",0.0600
21:00:00,2018-04-05,"2018-04-05 21:00:00",0.0500
23:00:00,2018-04-05,"2018-04-05 23:00:00",0.0500
02:00:00,2018-04-06,"2018-04-06 02:00:00",0.0400
05:00:00,2018-04-06,"2018-04-06 05:00:00",0.0500
09:00:00,2018-04-06,"2018-04-06 09:00:00",0.0500
12:00:00,2018-04-06,"2018-04-06 12:00:00",0.0300
15:00:00,2018-04-06,"2018-04-06 15:00:00",0.0400
18:00:00,2018-04-06,"2018-04-06 18:00:00",0.0300
21:00:00,2018-04-06,"2018-04-06 21:00:00",0.0300
23:00:00,2018-04-06,"2018-04-06 23:00:00",0.0400
02:00:00,2018-04-07,"2018-04-07 02:00:00",0.0300
05:00:00,2018-04-07,"2018-04-07 05:00:00",0.0300
08:00:00,2018-04-07,"2018-04-07 08:00:00",0.0300
11:00:00,2018-04-07,"2018-04-07 11:00:00",0.0200
14:00:00,2018-04-07,"2018-04-07 14:00:00",0.0300
17:00:00,2018-04-07,"2018-04-07 17:00:00",0.0300
20:00:00,2018-04-07,"2018-04-07 20:00:00",0.0200
23:00:00,2018-04-07,"2018-04-07 23:00:00",0.0200
02:00:00,2018-04-08,"2018-04-08 02:00:00",0.0200
05:00:00,2018-04-08,"2018-04-08 05:00:00",0.0200
08:00:00,2018-04-08,"2018-04-08 08:00:00",0.0300
11:00:00,2018-04-08,"2018-04-08 11:00:00",0.0200
14:00:00,2018-04-08,"2018-04-08 14:00:00",0.0300
17:00:00,2018-04-08,"2018-04-08 17:00:00",0.0300
20:00:00,2018-04-08,"2018-04-08 20:00:00",0.0200
23:00:00,2018-04-08,"2018-04-08 23:00:00",0.0200
02:00:00,2018-04-09,"2018-04-09 02:00:00",0.0200
05:00:00,2018-04-09,"2018-04-09 05:00:00",0.0200
07:00:00,2018-04-09,"2018-04-09 07:00:00",0.0300
